                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.3972,                 1.0331,                 1.3848,                0.84626,                0.69292,                 0.7685,                0.43657,                 1.5807,                 1.0421,                 1.6388,             0.00094062,             0.00094062,             0.00094062
                     77,                 1.4156,                 1.0329,                 1.4037,                0.76716,                0.68388,                0.71686,                0.39692,                 1.5906,                 1.0916,                  1.664,              0.0009365,              0.0009365,              0.0009365
                     78,                 1.3775,                 1.0215,                 1.3764,                0.61787,                0.67139,                0.67603,                0.36722,                 1.6093,                 1.0169,                 1.6561,             0.00093238,             0.00093238,             0.00093238
                     79,                 1.3843,                 1.0143,                 1.3929,                0.90337,                0.64124,                0.73978,                0.41887,                 1.5639,                  1.016,                 1.6472,             0.00092825,             0.00092825,             0.00092825
                     80,                 1.3819,                 1.0202,                 1.3516,                0.89889,                0.57629,                0.71292,                0.37505,                 1.6386,                 1.0959,                 1.6852,             0.00092413,             0.00092413,             0.00092413
                     81,                 1.3962,                 1.0154,                 1.3573,                0.80158,                0.68138,                0.73167,                0.41218,                 1.5707,                 1.0616,                 1.6488,                0.00092,                0.00092,                0.00092
                     82,                 1.3952,                  1.004,                 1.3823,                 0.8372,                0.73489,                 0.7882,                0.42879,                 1.5904,                 1.0471,                 1.6433,             0.00091588,             0.00091588,             0.00091588
                     83,                 1.4105,                 1.0152,                 1.3678,                0.72511,                0.72321,                0.74818,                 0.3916,                 1.6349,                 1.1326,                  1.659,             0.00091175,             0.00091175,             0.00091175
                     84,                 1.3931,                 1.0184,                 1.3645,                0.88332,                0.61118,                0.73052,                0.38639,                 1.6292,                 1.0814,                 1.6762,             0.00090763,             0.00090763,             0.00090763
                     85,                 1.3523,                0.97484,                 1.3337,                 0.7063,                0.69074,                 0.7357,                0.39337,                 1.6027,                 1.0041,                 1.6537,              0.0009035,              0.0009035,              0.0009035
